id,name,source
9339,"Sandhya Theatre RGB Laser Atmos -Madivala","TicketNew"
10940,"Innovative Multiplex, Marathahalli","Suresh Production"
9340,"Manasa RGB Laser Atmos Cinemas-Konankunte","TicketNew"
9487,"Balaji 4K Atmos 3D Cinema, Chikkalasandra Uttarahalli Main Rd","Balaji 4K Atmos Cinemas"
25230,"Rockline Cinemas Jalahalli Cross","TicketNew"
9097,"Srinivasa Cinema 4K Dolby Atmos SG Palya","Sri Srinivasa Chitramandira"
52080,"Miraj Cinemas : TGN Lotus Elite Sunkadakatte, Bengaluru","miraj"
1025975,"PVR INOX Megaplex Mall of Asia, Bangalore","PVR"
1022299,"PVR INOX Orion Mall, Dr Rajkumar Road","PVR"
1022297,"PVR INOX Nexus (Formerly Forum), Koramangala","PVR"
1022309,"PVR INOX Vega City, Bannerghatta Road","PVR"
1022305,"PVR INOX Superplex Forum Mall, Kanakapura Road","PVR"
7508,"Cinepolis Nexus Shantiniketan, Thigalarapalya","Cinepolis"
1022300,"PVR INOX Phoenix Marketcity Mall, Whitefield Road","PVR"
1022272,"PVR INOX VR, Whitefield Road","PVR"
1022307,"PVR INOX GLOBAL MALL, MYSORE ROAD, Bengaluru","PVR"
56450,"Cinepolis Lulu Global Mall","Cinepolis"
1022269,"PVR INOX MSR Elements Mall, Tanisandhra Main Road","PVR"
115,"Cinepolis Royal Meenakshi Mall, Bannerghatta Road","Cinepolis"
1020740,"PVR INOX Bhartiya Mall Of Bengaluru","PVR"
9637,"Cinepolis: SJR Spectrum (Central Mall), Bannerghatta Road","Cinepolis"
1022273,"PVR INOX Vaishnavi Sapphire Mall, Yashwantpur","PVR"
128,"Cinepolis ETA Namma Mall, Binny Pete","Cinepolis"
1024350,"PVR INOX Directors Cut, Forum Rex Walk Bengaluru","PVR"
1020725,"PVR INOX Mantri Square, Malleshwaram","PVR"
925,"Cinepolis Orion East Mall, Banaswadi","Cinepolis"
1020731,"PVR INOX Galleria Mall, Yelahanka","PVR"
1020738,"PVR INOX SBR Horizon, Seegehalli Whitefield-Hoskote Rd","PVR"
1020720,"PVR INOX Garuda Mall, Magrath Road","PVR"
1022303,"PVR INOX GT World Mall Magadi Road","PVR"
1022306,"PVR INOX Orion Uptown, Old Madras Road, Bengaluru","PVR"
1020714,"PVR INOX Nexus, Whitefield","PVR"
1022308,"PVR INOX Aura Park Square Whitefield","PVR"
1022298,"PVR INOX Central Spirit Mall, Bellandur","PVR"
1020734,"PVR INOX Garuda Yelahanka","PVR"
1020726,"PVR INOX Central Mantri Junction, JP Nagar","PVR"
9717,"Narthaki & Sapna Theatre, Gandhi Nagar","Narthaki & Sapna Theatre, Gandhi Nagar"
1020723,"PVR INOX Shree Garuda Swagath Mall, Jayanagar","PVR"
56451,"Cinepolis VIP Lulu Global Mall","Cinepolis"
1020730,"PVR INOX Brookefield Mall, Kundalahalli","PVR"
1011878,"Gowrishankar DOLBY 7.1 RGB Laser, Attibele","TicketNew"
1020718,"PVR INOX Lido Mall, Ulsoor","PVR"
4481,"Santosh Theatre - Gandhinagar","TicketNew"
1403,"Akash Cinemas, Laggere","Justickets"
1025662,"Sri Lakshmi Chitramandira, Tavarekere","TicketNew"
54957,"Vinayaka Cinemas 4K Dolby 11.5 A/C, Harinagar","TicketNew"
1025661,"Balaji Theatre, Tavarekere (Next To Lakshmi Theatre)","TicketNew"
43628,"Sri Vinayaka 4K A/C Dolby Atmos, Marathahalli","Sri Vinayaka Digital 4K Cinema"
11981,"Sri Lakshmi Cinemas A/C 4K, Gottigere","TicketNew"
4246,"Ashoka Cinemas - Dolby Laser Projector, Chikkabanavara","TicketNew"
4196,"Sri Vinayaka Cinemas A/C DTS 4K, Varthur","TicketNew"
579,"Goverdhan Theatre, Yeshwanthpur","Justickets"
55667,"Siddalingeshwara A/C 4K 3D , Jp Nagar","TicketNew"
1011225,"Srinivasa Theatre AC 4K Dolby Atmos, Kadugodi","TicketNew"
1026890,"Murali Cinemas (Gokula) 4K Dolby 7.1, Mathikere","TicketNew"
58109,"Prithvi Theatre, Nagavara","Bhumika Digital 2K Cinema"
47385,"Bhoomika Theatre 2K - Majestic","Bhumika Digital 2K Cinema"
47384,"Abhinay Theatre 2K Cinema - Majestic","Abhinay Theatre"
29842,"Vaibhav Cinema 4K A/C 7.1 Dolby, Doddaballapur","TicketNew"
9710,"Galaxy Paradise, Hongasandra","Galaxy Paradise"
134,"Fun Cinema Sigma Mall, Vasantha Nagar","Cinepolis"
4080,"Vullas Theatre - 4K Dolby, Yeshwantpur","TicketNew"
4234,"Vaibhav 4K A/c 7.1 Dolby, Sanjay Nagar","TicketNew"
4522,"Soundarya Mahal A/C 4K Dolby Atmos","TicketNew"
11934,"Sri Srinivasa Theatre A/C 4K Dolby Atmos - Padmanabhanagar","TicketNew"
32228,"VR Cinemas 2K A/C 7.1 Dolby Atmos, Mallathalli","TicketNew"
1013537,"Sharada Cinemas A/C  S.P Road - Bangalore","TicketNew"
1023988,"Sri Vajreshwari Theatre 2K, Ullal","TicketNew"
